Date,Commodity,Arrival (unit quintal)
13-01-2019,Onion,37353.57564
20-01-2019,Onion,33423.22805
27-01-2019,Onion,32729.995
03-02-2019,Onion,41876.0344
10-02-2019,Onion,38256.58651
17-02-2019,Onion,45182.7422
24-02-2019,Onion,37403.62342
03-03-2019,Onion,42516.22173
10-03-2019,Onion,46528.28994
17-03-2019,Onion,52428.46192
24-03-2019,Onion,39398.38783
31-03-2019,Onion,46519.55544
07-04-2019,Onion,52170.4646
14-04-2019,Onion,56458.08347
21-04-2019,Onion,45472.37978
28-04-2019,Onion,42862.39698
05-05-2019,Onion,57014.98761
12-05-2019,Onion,46409.70628
19-05-2019,Onion,44297.63828
26-05-2019,Onion,42613.98769
02-06-2019,Onion,50564.51287
09-06-2019,Onion,53099.27737
16-06-2019,Onion,40119.23602
23-06-2019,Onion,46679.27793
30-06-2019,Onion,51423.38286
13-01-2019,Garlic,1801.083432
20-01-2019,Garlic,1783.616438
27-01-2019,Garlic,1724.398529
03-02-2019,Garlic,2091.529869
10-02-2019,Garlic,1833.863933
17-02-2019,Garlic,1877.812583
24-02-2019,Garlic,1987.623735
03-03-2019,Garlic,1885.345775
10-03-2019,Garlic,1687.856919
17-03-2019,Garlic,1854.19032
24-03-2019,Garlic,1856.230203
31-03-2019,Garlic,1959.484867
07-04-2019,Garlic,1779.703281
14-04-2019,Garlic,1768.494987
21-04-2019,Garlic,1737.16752
28-04-2019,Garlic,2040.985092
05-05-2019,Garlic,1838.855034
12-05-2019,Garlic,1911.035247
19-05-2019,Garlic,2053.149031
26-05-2019,Garlic,1897.796536
02-06-2019,Garlic,1705.846333
09-06-2019,Garlic,1833.45641
16-06-2019,Garlic,1859.504413
23-06-2019,Garlic,2106.623694
30-06-2019,Garlic,1804.513334
13-01-2019,Potato,13457.81816
20-01-2019,Potato,14277.74084
27-01-2019,Potato,14096.49631
03-02-2019,Potato,14440.00719
10-02-2019,Potato,14344.17692
17-02-2019,Potato,13926.04245
24-02-2019,Potato,14496.96542
03-03-2019,Potato,14036.20577
10-03-2019,Potato,14653.87398
17-03-2019,Potato,14374.03767
24-03-2019,Potato,14233.00552
31-03-2019,Potato,14336.21339
07-04-2019,Potato,14211.28692
14-04-2019,Potato,14603.8887
21-04-2019,Potato,14288.40975
28-04-2019,Potato,14918.97387
05-05-2019,Potato,14912.69174
12-05-2019,Potato,14214.34505
19-05-2019,Potato,15155.18214
26-05-2019,Potato,14213.32135
02-06-2019,Potato,14706.65707
09-06-2019,Potato,14738.15843
16-06-2019,Potato,14461.1567
23-06-2019,Potato,15178.65367
30-06-2019,Potato,14546.76183
13-01-2019,Tomato,13549.3253
20-01-2019,Tomato,10866.72899
27-01-2019,Tomato,11096.12067
03-02-2019,Tomato,12601.19155
10-02-2019,Tomato,15356.28302
17-02-2019,Tomato,12911.88536
24-02-2019,Tomato,12768.42434
03-03-2019,Tomato,14277.1737
10-03-2019,Tomato,17222.149
17-03-2019,Tomato,13397.94848
24-03-2019,Tomato,11686.98547
31-03-2019,Tomato,14975.96562
07-04-2019,Tomato,15681.95542
14-04-2019,Tomato,13336.08125
21-04-2019,Tomato,12123.53964
28-04-2019,Tomato,15186.71749
05-05-2019,Tomato,15019.84806
12-05-2019,Tomato,13090.59136
19-05-2019,Tomato,13325.71591
26-05-2019,Tomato,15695.87466
02-06-2019,Tomato,15879.86988
09-06-2019,Tomato,12363.0092
16-06-2019,Tomato,11056.861
23-06-2019,Tomato,14001.1343
30-06-2019,Tomato,15053.97551
13-01-2019,Rice,30516.35934
20-01-2019,Rice,29866.71266
27-01-2019,Rice,29069.09618
03-02-2019,Rice,31295.98501
10-02-2019,Rice,33168.60283
17-02-2019,Rice,31737.08345
24-02-2019,Rice,34870.23531
03-03-2019,Rice,29644.87094
10-03-2019,Rice,30038.64647
17-03-2019,Rice,32777.83531
24-03-2019,Rice,29370.35483
31-03-2019,Rice,33071.5958
07-04-2019,Rice,31602.78851
14-04-2019,Rice,31127.00588
21-04-2019,Rice,29940.21702
28-04-2019,Rice,32458.88835
05-05-2019,Rice,33977.4339
12-05-2019,Rice,32797.04186
19-05-2019,Rice,35488.41187
26-05-2019,Rice,30739.85698
02-06-2019,Rice,31057.21177
09-06-2019,Rice,33488.37197
16-06-2019,Rice,30411.02562
23-06-2019,Rice,34073.15526
30-06-2019,Rice,32576.30384
13-01-2019,Maize,156003.0975
20-01-2019,Maize,188380.6698
27-01-2019,Maize,180798.1876
03-02-2019,Maize,169437.018
10-02-2019,Maize,166284.7239
17-02-2019,Maize,181622.2328
24-02-2019,Maize,183786.7951
03-03-2019,Maize,169010.7221
10-03-2019,Maize,156132.13
17-03-2019,Maize,175990.2913
24-03-2019,Maize,179206.2637
31-03-2019,Maize,164604.7392
07-04-2019,Maize,169234.8492
14-04-2019,Maize,183126.7756
21-04-2019,Maize,184323.7166
28-04-2019,Maize,162400.2574
05-05-2019,Maize,181463.4297
12-05-2019,Maize,185498.1555
19-05-2019,Maize,198984.0806
26-05-2019,Maize,163318.9405
02-06-2019,Maize,167486.6697
09-06-2019,Maize,191238.5128
16-06-2019,Maize,189710.8558
23-06-2019,Maize,214769.2499
30-06-2019,Maize,188909.097
13-01-2019,Green Ginger,11141.36724
20-01-2019,Green Ginger,11123.42558
27-01-2019,Green Ginger,9842.291752
03-02-2019,Green Ginger,10983.44876
10-02-2019,Green Ginger,10658.27884
17-02-2019,Green Ginger,11926.80707
24-02-2019,Green Ginger,11331.36079
03-03-2019,Green Ginger,10094.31742
10-03-2019,Green Ginger,10257.0603
17-03-2019,Green Ginger,12798.5422
24-03-2019,Green Ginger,11261.68729
31-03-2019,Green Ginger,9682.819689
07-04-2019,Green Ginger,11628.08823
14-04-2019,Green Ginger,12436.79162
21-04-2019,Green Ginger,11083.65145
28-04-2019,Green Ginger,10046.86228
05-05-2019,Green Ginger,11430.44939
12-05-2019,Green Ginger,11542.07089
19-05-2019,Green Ginger,12150.12121
26-05-2019,Green Ginger,9564.797691
02-06-2019,Green Ginger,10228.30185
09-06-2019,Green Ginger,11899.81169
16-06-2019,Green Ginger,11437.8043
23-06-2019,Green Ginger,12302.72224
30-06-2019,Green Ginger,12009.61088
13-01-2019,Coconut (Per 1000),1427878.737
20-01-2019,Coconut (Per 1000),1343590.365
27-01-2019,Coconut (Per 1000),1227792.923
03-02-2019,Coconut (Per 1000),1271245.757
10-02-2019,Coconut (Per 1000),1465472.362
17-02-2019,Coconut (Per 1000),1419963.25
24-02-2019,Coconut (Per 1000),1209050.705
03-03-2019,Coconut (Per 1000),1278176.088
10-03-2019,Coconut (Per 1000),1461284.98
17-03-2019,Coconut (Per 1000),1454102.166
24-03-2019,Coconut (Per 1000),1189246.25
31-03-2019,Coconut (Per 1000),1421352.456
07-04-2019,Coconut (Per 1000),1419405.182
14-04-2019,Coconut (Per 1000),1399461.543
21-04-2019,Coconut (Per 1000),1324046.197
28-04-2019,Coconut (Per 1000),1311554.443
05-05-2019,Coconut (Per 1000),1510379.584
12-05-2019,Coconut (Per 1000),1476222.389
19-05-2019,Coconut (Per 1000),1297634.425
26-05-2019,Coconut (Per 1000),1255533.74
02-06-2019,Coconut (Per 1000),1501774.625
09-06-2019,Coconut (Per 1000),1518806.255
16-06-2019,Coconut (Per 1000),1358079.959
23-06-2019,Coconut (Per 1000),1571155.092
30-06-2019,Coconut (Per 1000),1532220.985
13-01-2019,Paddy,174074.1377
20-01-2019,Paddy,170918.3886
27-01-2019,Paddy,171223.2063
03-02-2019,Paddy,169664.4158
10-02-2019,Paddy,162284.2521
17-02-2019,Paddy,166682.4229
24-02-2019,Paddy,168167.9922
03-03-2019,Paddy,178231.4243
10-03-2019,Paddy,172202.7667
17-03-2019,Paddy,169393.2283
24-03-2019,Paddy,168367.6154
31-03-2019,Paddy,162011.3599
07-04-2019,Paddy,164831.839
14-04-2019,Paddy,165503.975
21-04-2019,Paddy,167093.3766
28-04-2019,Paddy,165458.7346
05-05-2019,Paddy,171213.695
12-05-2019,Paddy,171841.7708
19-05-2019,Paddy,184785.8514
26-05-2019,Paddy,172225.1723
02-06-2019,Paddy,175973.719
09-06-2019,Paddy,179216.1114
16-06-2019,Paddy,177288.6691
23-06-2019,Paddy,194161.8299
30-06-2019,Paddy,181620.9913
